model,signals,horizon_days,n,direction_accuracy,up_precision,down_precision,flat_accuracy,all_signals_accuracy,delta_vs_all
Supply/Demand only,sd,1,644,0.47360248447204967,0.04813664596273292,0.034161490683229816,0.391304347826087,0.27639751552795033,0.19720496894409933
Supply/Demand + Cross-market,sd+ cross,1,644,0.4549689440993789,0.027950310559006212,0.16925465838509315,0.2577639751552795,0.27639751552795033,0.17857142857142855
Momentum + Crowd + Supply/Demand,mom+ crowd+ sd,1,644,0.39596273291925466,0.037267080745341616,0.2127329192546584,0.14596273291925466,0.27639751552795033,0.11956521739130432
Crowd + Supply/Demand,crowd+ sd,1,644,0.38509316770186336,0.029503105590062112,0.16459627329192547,0.19099378881987578,0.27639751552795033,0.10869565217391303
Crowd + Supply/Demand + Cross-market,crowd+ sd+ cross,1,644,0.36801242236024845,0.027950310559006212,0.2453416149068323,0.09472049689440994,0.27639751552795033,0.09161490683229812
Momentum only,mom,1,644,0.34627329192546585,0.034161490683229816,0.15062111801242237,0.16149068322981366,0.27639751552795033,0.06987577639751552
No historical_probability,mom+ crowd+ sd+ cross,1,644,0.34316770186335405,0.034161490683229816,0.24378881987577639,0.06521739130434782,0.27639751552795033,0.06677018633540371
Crowd only,crowd,1,644,0.34006211180124224,0.029503105590062112,0.2453416149068323,0.06521739130434782,0.27639751552795033,0.0636645962732919
Crowd + Cross-market,crowd+ cross,1,644,0.33695652173913043,0.027950310559006212,0.2484472049689441,0.06055900621118013,0.27639751552795033,0.0605590062111801
Cross-market only,cross,1,644,0.32608695652173914,0.0,0.2531055900621118,0.07298136645962733,0.27639751552795033,0.0496894409937888
Momentum + Supply/Demand,mom+ sd,1,644,0.31211180124223603,0.040372670807453416,0.08385093167701864,0.18788819875776397,0.27639751552795033,0.0357142857142857
No momentum,crowd+ sd+ cross+ hist,1,644,0.2826086956521739,0.031055900621118012,0.2515527950310559,0.0,0.27639751552795033,0.006211180124223559
All signals,mom+ crowd+ sd+ cross+ hist,1,644,0.27639751552795033,0.024844720496894408,0.2515527950310559,0.0,0.27639751552795033,0.0
No crowd,mom+ sd+ cross+ hist,1,644,0.27639751552795033,0.024844720496894408,0.2515527950310559,0.0,0.27639751552795033,0.0
No supply_demand,mom+ crowd+ cross+ hist,1,644,0.27639751552795033,0.024844720496894408,0.2515527950310559,0.0,0.27639751552795033,0.0
Historical probability only,hist,1,644,0.27639751552795033,0.024844720496894408,0.2515527950310559,0.0,0.27639751552795033,0.0
No cross_market,mom+ crowd+ sd+ hist,1,644,0.2732919254658385,0.024844720496894408,0.2484472049689441,0.0,0.27639751552795033,-0.003105590062111807
Cross-market only,cross,3,592,0.4408783783783784,0.0,0.3902027027027027,0.05067567567567568,0.40033783783783783,0.04054054054054057
Momentum + Crowd + Supply/Demand,mom+ crowd+ sd,3,592,0.4375,0.02195945945945946,0.3108108108108108,0.10472972972972973,0.40033783783783783,0.03716216216216217
Supply/Demand + Cross-market,sd+ cross,3,592,0.42736486486486486,0.0,0.2635135135135135,0.16385135135135134,0.40033783783783783,0.02702702702702703
Crowd + Supply/Demand + Cross-market,crowd+ sd+ cross,3,592,0.41216216216216217,0.0,0.3547297297297297,0.057432432432432436,0.40033783783783783,0.011824324324324342
Crowd only,crowd,3,592,0.40540540540540543,0.0016891891891891893,0.3547297297297297,0.048986486486486486,0.40033783783783783,0.005067567567567599
All signals,mom+ crowd+ sd+ cross+ hist,3,592,0.40033783783783783,0.0033783783783783786,0.3969594594594595,0.0,0.40033783783783783,0.0
No momentum,crowd+ sd+ cross+ hist,3,592,0.40033783783783783,0.0033783783783783786,0.3969594594594595,0.0,0.40033783783783783,0.0
No crowd,mom+ sd+ cross+ hist,3,592,0.40033783783783783,0.0033783783783783786,0.3969594594594595,0.0,0.40033783783783783,0.0
No supply_demand,mom+ crowd+ cross+ hist,3,592,0.40033783783783783,0.0033783783783783786,0.3969594594594595,0.0,0.40033783783783783,0.0
Historical probability only,hist,3,592,0.40033783783783783,0.0033783783783783786,0.3969594594594595,0.0,0.40033783783783783,0.0
No historical_probability,mom+ crowd+ sd+ cross,3,592,0.3969594594594595,0.0033783783783783786,0.3530405405405405,0.04054054054054054,0.40033783783783783,-0.003378378378378344
Crowd + Cross-market,crowd+ cross,3,592,0.3952702702702703,0.0,0.36655405405405406,0.028716216216216218,0.40033783783783783,-0.0050675675675675436
Supply/Demand only,sd,3,592,0.38344594594594594,0.08108108108108109,0.04222972972972973,0.26013513513513514,0.40033783783783783,-0.016891891891891886
No cross_market,mom+ crowd+ sd+ hist,3,592,0.3783783783783784,0.0033783783783783786,0.375,0.0,0.40033783783783783,-0.02195945945945943
Momentum only,mom,3,592,0.36486486486486486,0.04054054054054054,0.22635135135135134,0.09797297297297297,0.40033783783783783,-0.03547297297297297
Crowd + Supply/Demand,crowd+ sd,3,592,0.34628378378378377,0.0016891891891891893,0.23986486486486486,0.10472972972972973,0.40033783783783783,-0.05405405405405406
Momentum + Supply/Demand,mom+ sd,3,592,0.3091216216216216,0.06756756756756757,0.13006756756756757,0.11148648648648649,0.40033783783783783,-0.09121621621621623
All signals,mom+ crowd+ sd+ cross+ hist,7,489,0.5296523517382413,0.006134969325153374,0.523517382413088,0.0,0.5296523517382413,0.0
No momentum,crowd+ sd+ cross+ hist,7,489,0.5296523517382413,0.006134969325153374,0.523517382413088,0.0,0.5296523517382413,0.0
No crowd,mom+ sd+ cross+ hist,7,489,0.5296523517382413,0.006134969325153374,0.523517382413088,0.0,0.5296523517382413,0.0
No supply_demand,mom+ crowd+ cross+ hist,7,489,0.5296523517382413,0.006134969325153374,0.523517382413088,0.0,0.5296523517382413,0.0
Historical probability only,hist,7,489,0.5296523517382413,0.006134969325153374,0.523517382413088,0.0,0.5296523517382413,0.0
Cross-market only,cross,7,489,0.5194274028629857,0.0,0.4867075664621677,0.032719836400818,0.5296523517382413,-0.010224948875255602
No cross_market,mom+ crowd+ sd+ hist,7,489,0.5030674846625767,0.0081799591002045,0.4948875255623722,0.0,0.5296523517382413,-0.026584867075664653
Crowd + Supply/Demand + Cross-market,crowd+ sd+ cross,7,489,0.49079754601226994,0.0,0.45194274028629855,0.03885480572597137,0.5296523517382413,-0.038854805725971386
No historical_probability,mom+ crowd+ sd+ cross,7,489,0.4867075664621677,0.010224948875255624,0.44785276073619634,0.028629856850715747,0.5296523517382413,-0.04294478527607365
Crowd only,crowd,7,489,0.4867075664621677,0.002044989775051125,0.45194274028629855,0.032719836400818,0.5296523517382413,-0.04294478527607365
Crowd + Cross-market,crowd+ cross,7,489,0.4867075664621677,0.0,0.46830265848670755,0.018404907975460124,0.5296523517382413,-0.04294478527607365
Supply/Demand + Cross-market,sd+ cross,7,489,0.4662576687116564,0.0,0.3496932515337423,0.1165644171779141,0.5296523517382413,-0.06339468302658491
Momentum + Crowd + Supply/Demand,mom+ crowd+ sd,7,489,0.4539877300613497,0.026584867075664622,0.37423312883435583,0.053169734151329244,0.5296523517382413,-0.07566462167689164
Crowd + Supply/Demand,crowd+ sd,7,489,0.4212678936605317,0.014314928425357873,0.3312883435582822,0.07566462167689161,0.5296523517382413,-0.10838445807770963
Momentum only,mom,7,489,0.38445807770961143,0.05112474437627812,0.2883435582822086,0.044989775051124746,0.5296523517382413,-0.1451942740286299
Momentum + Supply/Demand,mom+ sd,7,489,0.3210633946830266,0.065439672801636,0.18404907975460122,0.07157464212678936,0.5296523517382413,-0.20858895705521474
Supply/Demand only,sd,7,489,0.28016359918200406,0.06134969325153374,0.05930470347648262,0.15950920245398773,0.5296523517382413,-0.24948875255623726
