model,signals,horizon_days,n,direction_accuracy,up_precision,down_precision,flat_accuracy,all_signals_accuracy,delta_vs_all
All signals,mom+ crowd+ sd+ cross+ hist,1,644,0.27639751552795033,0.024844720496894408,0.2515527950310559,0.0,0.27639751552795033,0.0
All signals,mom+ crowd+ sd+ cross+ hist,3,592,0.40033783783783783,0.0033783783783783786,0.3969594594594595,0.0,0.40033783783783783,0.0
All signals,mom+ crowd+ sd+ cross+ hist,7,489,0.5296523517382413,0.006134969325153374,0.523517382413088,0.0,0.5296523517382413,0.0
No momentum,crowd+ sd+ cross+ hist,1,644,0.2826086956521739,0.031055900621118012,0.2515527950310559,0.0,0.27639751552795033,0.006211180124223559
No momentum,crowd+ sd+ cross+ hist,3,592,0.40033783783783783,0.0033783783783783786,0.3969594594594595,0.0,0.40033783783783783,0.0
No momentum,crowd+ sd+ cross+ hist,7,489,0.5296523517382413,0.006134969325153374,0.523517382413088,0.0,0.5296523517382413,0.0
No crowd,mom+ sd+ cross+ hist,1,644,0.27639751552795033,0.024844720496894408,0.2515527950310559,0.0,0.27639751552795033,0.0
No crowd,mom+ sd+ cross+ hist,3,592,0.40033783783783783,0.0033783783783783786,0.3969594594594595,0.0,0.40033783783783783,0.0
No crowd,mom+ sd+ cross+ hist,7,489,0.5296523517382413,0.006134969325153374,0.523517382413088,0.0,0.5296523517382413,0.0
No supply_demand,mom+ crowd+ cross+ hist,1,644,0.27639751552795033,0.024844720496894408,0.2515527950310559,0.0,0.27639751552795033,0.0
No supply_demand,mom+ crowd+ cross+ hist,3,592,0.40033783783783783,0.0033783783783783786,0.3969594594594595,0.0,0.40033783783783783,0.0
No supply_demand,mom+ crowd+ cross+ hist,7,489,0.5296523517382413,0.006134969325153374,0.523517382413088,0.0,0.5296523517382413,0.0
No cross_market,mom+ crowd+ sd+ hist,1,644,0.2732919254658385,0.024844720496894408,0.2484472049689441,0.0,0.27639751552795033,-0.003105590062111807
No cross_market,mom+ crowd+ sd+ hist,3,592,0.3783783783783784,0.0033783783783783786,0.375,0.0,0.40033783783783783,-0.02195945945945943
No cross_market,mom+ crowd+ sd+ hist,7,489,0.5030674846625767,0.0081799591002045,0.4948875255623722,0.0,0.5296523517382413,-0.026584867075664653
No historical_probability,mom+ crowd+ sd+ cross,1,644,0.34316770186335405,0.034161490683229816,0.24378881987577639,0.06521739130434782,0.27639751552795033,0.06677018633540371
No historical_probability,mom+ crowd+ sd+ cross,3,592,0.3969594594594595,0.0033783783783783786,0.3530405405405405,0.04054054054054054,0.40033783783783783,-0.003378378378378344
No historical_probability,mom+ crowd+ sd+ cross,7,489,0.4867075664621677,0.010224948875255624,0.44785276073619634,0.028629856850715747,0.5296523517382413,-0.04294478527607365
