model,signals,horizon_days,n,direction_accuracy,up_precision,down_precision,flat_accuracy,all_signals_accuracy,delta_vs_all
Supply/Demand only,sd,1,644,0.47360248447204967,0.04813664596273292,0.034161490683229816,0.391304347826087,0.27639751552795033,0.19720496894409933
Supply/Demand + Cross-market,sd+ cross,1,644,0.4549689440993789,0.027950310559006212,0.16925465838509315,0.2577639751552795,0.27639751552795033,0.17857142857142855
Momentum + Crowd + Supply/Demand,mom+ crowd+ sd,1,644,0.39596273291925466,0.037267080745341616,0.2127329192546584,0.14596273291925466,0.27639751552795033,0.11956521739130432
Crowd + Supply/Demand,crowd+ sd,1,644,0.38509316770186336,0.029503105590062112,0.16459627329192547,0.19099378881987578,0.27639751552795033,0.10869565217391303
Crowd + Supply/Demand + Cross-market,crowd+ sd+ cross,1,644,0.36801242236024845,0.027950310559006212,0.2453416149068323,0.09472049689440994,0.27639751552795033,0.09161490683229812
Cross-market only,cross,3,592,0.4408783783783784,0.0,0.3902027027027027,0.05067567567567568,0.40033783783783783,0.04054054054054057
Momentum + Crowd + Supply/Demand,mom+ crowd+ sd,3,592,0.4375,0.02195945945945946,0.3108108108108108,0.10472972972972973,0.40033783783783783,0.03716216216216217
Supply/Demand + Cross-market,sd+ cross,3,592,0.42736486486486486,0.0,0.2635135135135135,0.16385135135135134,0.40033783783783783,0.02702702702702703
Crowd + Supply/Demand + Cross-market,crowd+ sd+ cross,3,592,0.41216216216216217,0.0,0.3547297297297297,0.057432432432432436,0.40033783783783783,0.011824324324324342
Crowd only,crowd,3,592,0.40540540540540543,0.0016891891891891893,0.3547297297297297,0.048986486486486486,0.40033783783783783,0.005067567567567599
All signals,mom+ crowd+ sd+ cross+ hist,7,489,0.5296523517382413,0.006134969325153374,0.523517382413088,0.0,0.5296523517382413,0.0
No momentum,crowd+ sd+ cross+ hist,7,489,0.5296523517382413,0.006134969325153374,0.523517382413088,0.0,0.5296523517382413,0.0
No crowd,mom+ sd+ cross+ hist,7,489,0.5296523517382413,0.006134969325153374,0.523517382413088,0.0,0.5296523517382413,0.0
No supply_demand,mom+ crowd+ cross+ hist,7,489,0.5296523517382413,0.006134969325153374,0.523517382413088,0.0,0.5296523517382413,0.0
Historical probability only,hist,7,489,0.5296523517382413,0.006134969325153374,0.523517382413088,0.0,0.5296523517382413,0.0
