horizon,signal,n,standalone_accuracy,mean_learned_weight
1,momentum,644,0.34627329192546585,0.18702559006743616
1,crowd,644,0.34006211180124224,0.18848496661902858
1,supply_demand,644,0.47360248447204967,0.26625707856260217
1,cross_market,644,0.32608695652173914,0.19044979998685593
1,historical_probability,644,0.27639751552795033,0.16778256476407724
3,momentum,592,0.36486486486486486,0.1910226874909701
3,crowd,592,0.40540540540540543,0.19393135931149685
3,supply_demand,592,0.38344594594594594,0.21907790264966573
3,cross_market,592,0.4408783783783784,0.20327485193082798
3,historical_probability,592,0.40033783783783783,0.1926931986170394
7,momentum,489,0.38445807770961143,0.1740609658593407
7,crowd,489,0.4867075664621677,0.21124252037006216
7,supply_demand,489,0.28016359918200406,0.17630737611451747
7,cross_market,489,0.5194274028629857,0.21980425497390427
7,historical_probability,489,0.5296523517382413,0.2185848826821754
