horizon,regime,n,accuracy,brier,avg_confidence
1,CAPITULATION,16,0.1875,0.6092774882360106,0.5818908350867121
1,CONFLICTED,104,0.5192307692307693,0.5593363531711218,0.6339387998431106
1,EUPHORIA,24,0.25,0.9993266424144881,0.788732385624387
1,NORMAL,96,0.71875,0.4297492880971523,0.6492572210410111
1,PANIC,404,0.47277227722772275,0.6338511186992299,0.6283508388482145
3,CAPITULATION,16,0.3125,0.8663725983469176,0.7026070483722131
3,CONFLICTED,104,0.36538461538461536,0.7636015763172167,0.6756290296352645
3,NORMAL,72,0.3888888888888889,0.7238156581360641,0.5169463402124963
3,PANIC,400,0.45,0.7097811298574783,0.7086784416077601
7,CAPITULATION,15,0.26666666666666666,0.9908305849539691,0.7424873183160429
7,CONFLICTED,80,0.55,0.6347735990487258,0.7289792185241045
7,NORMAL,72,0.5138888888888888,0.6713924690656164,0.6540531041654871
7,PANIC,322,0.5341614906832298,0.6974928171059611,0.7899489553358742
