horizon,conf_bin,n,avg_confidence,accuracy,mean_brier
1,"(-0.001, 0.4]",2,0.3508771929824561,0.5,0.6325023084025854
1,"(0.4, 0.5]",106,0.47584916540976907,0.4528301886792453,0.6022606148950568
1,"(0.5, 0.6]",196,0.551493499512718,0.4846938775510204,0.5704335601520786
1,"(0.6, 0.7]",101,0.6421990774235236,0.38613861386138615,0.6930037098215626
1,"(0.7, 0.8]",154,0.7507522664095048,0.538961038961039,0.6334226259417872
1,"(0.8, 0.9]",85,0.8310523558110486,0.6705882352941176,0.5268820811627583
1,"(0.9, 1.0]",0,,,
3,"(-0.001, 0.4]",4,0.36594937440113234,0.5,0.6300739234181507
3,"(0.4, 0.5]",58,0.47112204302304295,0.41379310344827586,0.6670240051694328
3,"(0.5, 0.6]",127,0.5676119266742601,0.33070866141732286,0.7286528637462442
3,"(0.6, 0.7]",154,0.6479455583853273,0.3246753246753247,0.8059334660881576
3,"(0.7, 0.8]",116,0.7348834788147443,0.3620689655172414,0.8777905609683669
3,"(0.8, 0.9]",88,0.8541570684413877,0.625,0.6073222499079789
3,"(0.9, 1.0]",45,0.9139362834924832,0.8,0.3594508068499428
7,"(-0.001, 0.4]",2,0.3508771929824561,0.5,0.6325023084025854
7,"(0.4, 0.5]",8,0.43722225880592425,0.25,0.8293276129439918
7,"(0.5, 0.6]",24,0.5694454811659148,0.625,0.5770148279946327
7,"(0.6, 0.7]",79,0.6484381456883674,0.46835443037974683,0.6987509736833719
7,"(0.7, 0.8]",201,0.763767498101082,0.4228855721393035,0.8302203034910376
7,"(0.8, 0.9]",155,0.8398798771258909,0.6645161290322581,0.5428660812957641
7,"(0.9, 1.0]",20,0.9059774394064857,0.7,0.5304729831647391
